data,system,example_id,source,target,nMSE,nAPE,DTW,nDTW
signsuisse_test,sign_mt_v2,0,fra,fsl,0.40807427697495563,0.533474618034441,104.98438575842503,38.985883267605686
signsuisse_test,sign_mt_v2,1,ita,lse,0.09735483666908994,0.20263514106572775,15.138103973953642,12.688580374336487
signsuisse_test,sign_mt_v2,2,fra,fsl,5068.36670806615,11.667073635234644,1191.920480609371,14.800883384452092
signsuisse_test,sign_mt_v2,3,fra,fsl,7691.736531165918,17.550892239365627,1781.1557112010353,37.57649035330891
signsuisse_test,sign_mt_v2,4,ita,lse,0.30284253667839645,0.43635324838997747,47.42258504205086,27.753395052210575
signsuisse_test,sign_mt_v2,5,ita,lse,0.3438682755711276,0.4800029611082528,35.859604287569894,18.35724692818445
signsuisse_test,sign_mt_v2,6,deu,sgg,0.34935212641201224,0.44285883658303776,25.122018533617975,11.230161615509731
signsuisse_test,sign_mt_v2,7,deu,sgg,0.31501688073661005,0.4046776559523591,41.575309668413816,9.253963538404138
signsuisse_test,sign_mt_v2,8,ita,lse,0.3856138455252089,0.5212098355248329,55.92262585913319,16.443110521501435
signsuisse_test,sign_mt_v2,9,deu,sgg,2892.54510074842,6.626695858931107,1557.3026573593925,9.816913225172664
signsuisse_test,sign_mt_v2,10,deu,sgg,0.22481615444071223,0.3193716598497791,19.413784501578906,8.830143935105774
signsuisse_test,sign_mt_v2,11,fra,fsl,0.23700931782045745,0.32726841750041735,25.732693680129813,12.834200331733532
signsuisse_test,sign_mt_v2,12,ita,lse,2565.7543870049253,5.927944105774795,813.0774793503484,18.87306386648385
signsuisse_test,sign_mt_v2,13,deu,sgg,0.19209118065607958,0.2746424860322704,39.56572358625504,23.398889982168026
signsuisse_test,sign_mt_v2,14,deu,sgg,0.22676293069818224,0.3453754925905429,20.478319399371028,9.935052949738541
signsuisse_test,sign_mt_v2,15,deu,sgg,0.372526702446508,0.4977586078869598,63.938292671380154,31.194445604286116
signsuisse_test,sign_mt_v2,16,deu,sgg,0.15677436732506828,0.21106617078027692,24.366540804686235,14.561315998197024
signsuisse_test,sign_mt_v2,17,deu,sgg,0.3068610123837355,0.4454769320924326,31.673448822977093,13.985770009757742
signsuisse_test,sign_mt_v2,18,fra,fsl,0.2237663189788877,0.3125320798259106,23.90987336922527,15.58133445389471
signsuisse_test,sign_mt_v2,19,ita,lse,0.3241474409078693,0.4360672298677424,33.44348521273262,17.90545943653441
signsuisse_test,sign_mt_v2,20,fra,fsl,0.21601674371877114,0.3145433239645367,25.805475644453463,16.42842962558574
signsuisse_test,sign_mt_v2,21,ita,lse,0.323036840913964,0.4448914364225947,59.82957199604575,27.6418608836205
signsuisse_test,sign_mt_v2,22,deu,sgg,0.17637403512841746,0.262791292820482,13.772202474629829,7.156532197180339
signsuisse_test,sign_mt_v2,23,deu,sgg,0.22135168587354334,0.3119279934920918,25.81322566963314,13.76941681536953
signsuisse_test,sign_mt_v2,24,deu,sgg,0.20842683706070575,0.2660595473022223,35.43627724119254,17.49622884419289
signsuisse_test,sign_mt_v2,25,deu,sgg,0.27007030583506675,0.3767572129300566,19.387871128034185,6.155441442709897
signsuisse_test,sign_mt_v2,26,deu,sgg,0.3236016034248412,0.4406748173503803,38.80227905631859,20.62393729710857
signsuisse_test,sign_mt_v2,27,deu,sgg,0.357327538692037,0.4271451857241671,49.97233196015201,14.356322522542634
signsuisse_test,sign_mt_v2,28,ita,lse,0.2575564152366769,0.40056954863192296,25.27042099250794,12.854288231579543
signsuisse_test,sign_mt_v2,29,ita,lse,0.2680547850121133,0.41249679408107615,30.601231110628664,17.08714184873229
signsuisse_test,sign_mt_v2,30,deu,sgg,0.31269965831553387,0.4396153148975757,16.538097649724822,10.551012731178607
signsuisse_test,sign_mt_v2,31,fra,fsl,0.4211183998904027,0.4908259426480185,81.4617252487071,31.180152585842304
