data,system,example_id,source,target,nMSE,nAPE,DTW,nDTW
signsuisse_test,sign_mt,0,fra,fsl,0.4433057893042071,0.5729902355515786,142.6008307487458,46.869723290584055
signsuisse_test,sign_mt,1,ita,lse,0.3897277756909115,0.558645250685392,89.47867340169722,29.72621200745713
signsuisse_test,sign_mt,2,fra,fsl,0.3897902759672939,0.47688139106594296,62.01159541693899,17.80119633281687
signsuisse_test,sign_mt,3,fra,fsl,0.37278850379376616,0.4485154632718129,98.64218139724966,62.6067958710059
signsuisse_test,sign_mt,4,ita,lse,0.3288290303944434,0.4736632227685852,56.96651103766302,31.862428302850372
signsuisse_test,sign_mt,5,ita,lse,0.34386827565161526,0.4800029612032826,35.859604297649376,18.357246924323114
signsuisse_test,sign_mt,6,deu,sgg,0.34935212641201224,0.44285883658303776,25.122018533617975,11.230161615509731
signsuisse_test,sign_mt,7,deu,sgg,0.4140018940542462,0.5283425592883205,81.22996386352128,14.340180830005185
signsuisse_test,sign_mt,8,ita,lse,0.4216886536078547,0.5623407072669084,75.686894330069,19.593968657673233
signsuisse_test,sign_mt,9,deu,sgg,0.37527953210170334,0.5484620564224313,83.31241505185872,32.274563982365045
signsuisse_test,sign_mt,10,deu,sgg,0.34928939023443895,0.5203098103949653,52.12795506840146,19.210185407644556
signsuisse_test,sign_mt,11,fra,fsl,0.2370093178204574,0.32726841750041724,25.7326936801298,12.834200331733527
signsuisse_test,sign_mt,12,ita,lse,0.4175043356394429,0.5532831844129847,97.57326216602655,40.74352194825181
signsuisse_test,sign_mt,13,deu,sgg,0.39833516995709883,0.5663906827524727,192.45437966994575,69.83243815161987
signsuisse_test,sign_mt,14,deu,sgg,0.3022158867938419,0.450684714050472,32.362436855118894,12.616146186771696
signsuisse_test,sign_mt,15,deu,sgg,0.372526702446508,0.4977586078869598,63.938292671380154,31.194445604286116
signsuisse_test,sign_mt,16,deu,sgg,0.344365871906729,0.4756259433353617,39.89114954958603,21.05098861250872
signsuisse_test,sign_mt,17,deu,sgg,0.3068610125884907,0.44547693222445794,31.673448864381278,13.985769994418837
signsuisse_test,sign_mt,18,fra,fsl,0.22376631871578628,0.31253207961865137,23.909873336847703,15.581334445271674
signsuisse_test,sign_mt,19,ita,lse,0.41360960084967935,0.5470785010928316,73.76749795701197,25.850258657918733
signsuisse_test,sign_mt,20,fra,fsl,0.21601674371877114,0.3145433239645367,25.805475644453463,16.42842962558574
signsuisse_test,sign_mt,21,ita,lse,0.4593582587302814,0.6089788366026427,194.5874038509814,52.48065510731265
signsuisse_test,sign_mt,22,deu,sgg,0.4293705614415507,0.556291723600561,38.15119876189027,14.07692903582177
signsuisse_test,sign_mt,23,deu,sgg,0.350708945785132,0.5125752664770685,70.85866453495639,28.699912326254562
signsuisse_test,sign_mt,24,deu,sgg,0.38357374813239836,0.5401800121335674,103.98884255918504,50.067049667331766
signsuisse_test,sign_mt,25,deu,sgg,0.27007030583506675,0.3767572129300566,19.387871128034185,6.155441442709897
signsuisse_test,sign_mt,26,deu,sgg,0.3503775516534059,0.49472169607844435,51.86358000868738,25.294186774921645
signsuisse_test,sign_mt,27,deu,sgg,0.38689691166847345,0.5298654523580165,113.90399032844323,40.944709759705376
signsuisse_test,sign_mt,28,ita,lse,0.3192492304647242,0.4703865823763575,38.70312281491848,17.0348981036084
signsuisse_test,sign_mt,29,ita,lse,0.3780747080115565,0.5444715335862398,68.08598315745526,27.275459143091805
signsuisse_test,sign_mt,30,deu,sgg,0.26629813887176906,0.41281734134246884,39.74989486951038,25.983848590000623
signsuisse_test,sign_mt,31,fra,fsl,0.44508114703884105,0.5505026918265378,99.95570046919448,36.31440189425117
signsuisse_test,sign_mt,32,fra,fsl,0.44158852362550594,0.5663490668378184,69.47163947814649,22.041016393225135
signsuisse_test,sign_mt,33,deu,sgg,0.32757158592928554,0.4709433463799995,54.87765318721377,30.552067503206953
signsuisse_test,sign_mt,34,deu,sgg,0.2687053354438441,0.4092082187423712,26.362163948583028,15.248216660365848
signsuisse_test,sign_mt,35,deu,sgg,0.33214447066811426,0.4808353006460932,44.96755161812188,21.5664123326484
signsuisse_test,sign_mt,36,deu,sgg,0.3667005321811259,0.49900215787964985,36.667995904386004,17.33768581372718
signsuisse_test,sign_mt,37,fra,fsl,0.38445462673058906,0.4466888575363157,54.12586070969847,18.128006256757132
signsuisse_test,sign_mt,38,deu,sgg,0.2957797644442405,0.44600027702664086,40.84681291577739,22.184022201993585
signsuisse_test,sign_mt,39,deu,sgg,0.3238600986798663,0.47891175479317877,47.32755273385173,20.555722546113188
signsuisse_test,sign_mt,40,fra,fsl,0.2183840496069389,0.33019090032189624,40.70375266646204,24.72531444908977
signsuisse_test,sign_mt,41,ita,lse,0.3157117582311351,0.468689945304308,96.34201073535145,43.48785373792973
signsuisse_test,sign_mt,42,ita,lse,0.21939147538054304,0.3421490251054619,22.58907974598396,13.739980234921298
signsuisse_test,sign_mt,43,deu,sgg,0.17871594799690324,0.28339938224856775,17.683651269376725,10.587992840635463
signsuisse_test,sign_mt,44,ita,lse,0.3755273685564632,0.5262427214402327,119.75235668232703,49.792835541637075
signsuisse_test,sign_mt,45,ita,lse,0.42614168322134377,0.5952266055036332,134.44078491684692,35.39877064058388
signsuisse_test,sign_mt,46,fra,fsl,0.3939641959025746,0.46751177468488,76.33496407994691,26.443859285995973
