data,system,example_id,source,target,SignCLIP-P-P,SignCLIP-P-T,SignCLIP-Suisse-P-P,SignCLIP-Suisse-P-T
signsuisse_test,sign_mt_v2,0,fra,fsl,100.22161102294922,82.21232604980469,112.93852233886719,83.4493408203125
signsuisse_test,sign_mt_v2,1,ita,ise,86.02201843261719,68.79590606689453,95.73580169677734,77.5031967163086
signsuisse_test,sign_mt_v2,2,fra,fsl,80.47612762451172,75.02790832519531,95.49974822998047,78.18057250976562
signsuisse_test,sign_mt_v2,3,fra,fsl,103.63444519042969,72.78189849853516,103.68492126464844,84.68502044677734
signsuisse_test,sign_mt_v2,4,ita,ise,94.46520233154297,76.33423614501953,98.25997924804688,76.25627899169922
signsuisse_test,sign_mt_v2,5,ita,ise,83.23395538330078,77.39598083496094,81.9780044555664,75.15799713134766
signsuisse_test,sign_mt_v2,6,deu,sgg,76.99140167236328,72.8914794921875,82.36248016357422,69.41008758544922
signsuisse_test,sign_mt_v2,7,deu,sgg,80.1754150390625,80.3098373413086,93.59961700439453,78.36929321289062
signsuisse_test,sign_mt_v2,8,ita,ise,89.61582946777344,71.19912719726562,77.78118133544922,72.98519134521484
signsuisse_test,sign_mt_v2,9,deu,sgg,92.53441619873047,75.32515716552734,85.34430694580078,75.71504211425781
signsuisse_test,sign_mt_v2,10,deu,sgg,94.01094055175781,78.51675415039062,95.8226318359375,83.33850860595703
signsuisse_test,sign_mt_v2,11,fra,fsl,86.30763244628906,74.89955139160156,95.43285369873047,81.03549194335938
signsuisse_test,sign_mt_v2,12,ita,ise,89.95628356933594,69.81898498535156,90.540771484375,79.17138671875
signsuisse_test,sign_mt_v2,13,deu,sgg,110.12239074707031,78.89241027832031,98.39857482910156,78.28479766845703
signsuisse_test,sign_mt_v2,14,deu,sgg,91.67192840576172,82.81773376464844,88.42467498779297,77.62134552001953
signsuisse_test,sign_mt_v2,15,deu,sgg,92.65530395507812,73.03176879882812,88.83997344970703,80.27529907226562
signsuisse_test,sign_mt_v2,16,deu,sgg,81.6817855834961,77.36408996582031,79.66027069091797,72.69868469238281
signsuisse_test,sign_mt_v2,17,deu,sgg,102.59169006347656,78.60598754882812,98.29400634765625,84.2115707397461
signsuisse_test,sign_mt_v2,18,fra,fsl,83.0174560546875,72.10684204101562,95.78996276855469,85.66204071044922
signsuisse_test,sign_mt_v2,19,ita,ise,82.24526977539062,79.4314193725586,86.98365783691406,81.44686889648438
