data,system,example_id,source,target,nMSE,nAPE,DTW,nDTW,SegDiff,SegnAPERecall,SegnDTWRecall
signsuisse_test,sockeye,0,fra,fsl,0.3225634920589726,0.39379906119470043,47.843888630663216,22.027410839247242,1,0.3631249464247858,2.9631361986436064
signsuisse_test,sockeye,1,ita,lse,0.04941083969068305,0.13225528232303982,25.166154930263474,12.980563210586006,3,0.3129984112189369,2.0036725680038976
signsuisse_test,sockeye,2,fra,fsl,0.16263821515715557,0.2661607762307237,26.87684853738116,18.392437770559862,1,0.3921480855324001,3.4287577385080765
signsuisse_test,sockeye,3,fra,fsl,0.23842444969518375,0.357934287458967,51.69978849538772,44.845791970587854,6,0.4489722941000528,15.818995669152592
signsuisse_test,sockeye,4,ita,lse,0.1652639302909308,0.26110200821892604,27.323676497803348,20.413449398036246,5,0.4431762461876914,7.412793763765425
signsuisse_test,sockeye,5,ita,lse,0.1698911566203368,0.2544552946033779,14.632786183637178,7.215774402311759,3,0.5231985747714314,12.047904865676092
signsuisse_test,sockeye,6,deu,sgg,0.2793342694433576,0.38627279232642253,20.46451003044086,9.77223039635559,3,0.4491479089015892,1.9911356825552848
signsuisse_test,sockeye,7,deu,sgg,0.16824786954173346,0.22563265164291424,25.56053801262553,9.175256591647987,3,0.3272236912079709,1.5873084448892885
signsuisse_test,sockeye,8,ita,lse,0.3511675767459946,0.416567923284048,26.158209878200882,11.61708849948267,5,0.5714445013998549,18.13739127771417
signsuisse_test,sockeye,9,deu,sgg,0.1231226028506385,0.1890239028409319,21.759859103606843,11.48945374742488,7,0.3800150070471024,2.444212438201622
signsuisse_test,sockeye,10,deu,sgg,0.27807193523844576,0.3253455913537288,20.29067063833573,8.709360715950913,1,0.3536305832039851,3.713940626768575
signsuisse_test,sockeye,11,fra,fsl,0.14010870059604164,0.18555034330855627,21.650765776449393,14.685927666027515,2,0.4316457350314324,13.994062108325258
signsuisse_test,sockeye,12,ita,lse,0.1854593541899378,0.2721133116608264,23.599310180605475,20.095434343786224,5,0.3601545793676027,5.124692087176306
signsuisse_test,sockeye,13,deu,sgg,0.2731494225061118,0.3206901796989421,48.3746148191076,29.048001770753412,12,0.3438539134653737,2.696236790926684
signsuisse_test,sockeye,14,deu,sgg,0.23802333718119137,0.2766797878036794,23.13485664186898,10.247433543137252,1,0.429587136801526,4.813906595408171
signsuisse_test,sockeye,15,deu,sgg,0.4491184049047238,0.5083203695310982,48.25502069386694,31.072912607026822,3,0.4739848941735549,4.560066887951256
signsuisse_test,sockeye,16,deu,sgg,0.14129408818056735,0.22242946757288576,24.532884005503224,17.54930159280149,5,0.3821055102169986,2.7416812613925403
signsuisse_test,sockeye,17,deu,sgg,0.502067984153122,0.49535445643125664,35.13699772033681,14.022855322272434,3,0.4696062359696212,4.41042071660875
signsuisse_test,sockeye,18,fra,fsl,0.14566068748937785,0.24182089203347001,18.25081724736356,8.47633674619072,1,0.3712717359432899,3.487271966573981
signsuisse_test,sockeye,19,ita,lse,0.27997205820694865,0.3211672533288698,19.305107755770994,9.669677314128077,0,0.3845958462344503,3.291446163299696
signsuisse_test,sockeye,20,fra,fsl,0.0822585445965869,0.17389654236895796,20.940350208949077,14.863100523107937,4,0.3654321307614069,8.664273213561978
signsuisse_test,sockeye,21,ita,lse,0.43890763560489454,0.4402225175986755,55.881613903994435,17.18493085150969,2,0.2704586336331719,2.615618964711202
signsuisse_test,sockeye,22,deu,sgg,0.2623644739335625,0.3288724093668753,16.792729712182403,7.56191335877315,1,0.4160812368353499,2.4783581438361817
signsuisse_test,sockeye,23,deu,sgg,0.220733311175601,0.26385075760655,32.622833015274104,11.730815547725918,9,0.351847371149192,2.03203273712371
signsuisse_test,sockeye,24,deu,sgg,0.25554812273239763,0.34368367554039847,38.90920726041334,21.745667875367246,5,0.441747970667774,6.786151968369701
signsuisse_test,sockeye,25,deu,sgg,0.3505125454991852,0.3636736920134377,14.101972075568092,5.915212875773238,3,0.3232230691761093,2.067303876130374
signsuisse_test,sockeye,26,deu,sgg,0.37799358705796215,0.40304997374274143,41.29765058968594,20.659899929943446,11,0.4604423859373838,2.7637790674850344
signsuisse_test,sockeye,27,deu,sgg,0.37749647414327225,0.4004435400046809,50.8612199109394,15.916245921965395,12,0.4071438978991025,3.924282859009937
signsuisse_test,sockeye,28,ita,lse,0.2073058713840435,0.3003624468216493,20.226105282130195,8.296560557847268,2,0.4818221370751196,2.054697854861612
signsuisse_test,sockeye,29,ita,lse,0.40549694472750564,0.40353598157571996,29.3806048115958,13.918636941212714,5,0.3685910087245994,2.6395751394148284
signsuisse_test,sockeye,30,deu,sgg,0.13829281217817643,0.23593761775001848,18.606210009767878,13.017679477334864,6,0.4074233826547094,5.545687113022135
signsuisse_test,sockeye,31,fra,fsl,0.376020831838809,0.41738094475411663,55.78228191419229,31.439210629470054,4,0.463521959532446,3.692982004656029
signsuisse_test,sockeye,32,fra,fsl,0.3541927249705921,0.43362942283288625,23.716153849320946,10.89340654861449,5,0.3211937092534405,8.489293322839936
signsuisse_test,sockeye,33,deu,sgg,0.22415994671965936,0.2618204360627351,31.369467588471018,20.77889561965634,9,44.696276872143486,44.696276872143486
