data,system,example_id,startendtrimmed_normalizedbyshoulders_hands_defaultdist0.0_nointerp_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast,startendtrimmed_unnormalized_hands_defaultdist0.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast,untrimmed_normalizedbyshoulders_hands_defaultdist1.0_nointerp_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast,untrimmed_normalizedbyshoulders_hands_defaultdist1.0_nointerp_dtw_fillmasked1.0_dtaiDTWAggregatedDistanceMetricFast,untrimmed_unnormalized_hands_defaultdist1.0_nointerp_dtw_fillmasked1.0_dtaiDTWAggregatedDistanceMetricFast,startendtrimmed_unnormalized_hands_defaultdist10.0_nointerp_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast,startendtrimmed_unnormalized_hands_defaultdist10.0_nointerp_dtw_fillmasked1.0_dtaiDTWAggregatedDistanceMetricFast,startendtrimmed_unnormalized_hands_defaultdist10.0_nointerp_dtw_fillmasked10.0_dtaiDTWAggregatedDistanceMetricFast,untrimmed_normalizedbyshoulders_hands_defaultdist10.0_nointerp_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast,untrimmed_unnormalized_hands_defaultdist10.0_nointerp_dtw_fillmasked1.0_dtaiDTWAggregatedDistanceMetricFast
signsuisse_test,sockeye,0,7.573750357725802,14256.820359715646,9.421958461148405,12.408350390413833,12.408350390413833,7.499717845283483,10.471287081377032,82.57223573435274,9.42195661710888,12.40835041727463
signsuisse_test,sockeye,1,6.438706259194551,10594.695291755197,6.306646643749777,11.924783530145143,11.924783530145143,6.396304802931354,10.084717276969716,104.42292410857347,6.306646415760616,11.924783526255819
signsuisse_test,sockeye,2,6.555020417884764,10847.937449581426,5.609596187573909,14.480564870694284,14.480564870694284,6.456104284452958,12.914644990555953,129.8693986854486,5.609594258843759,14.480564810003338
signsuisse_test,sockeye,3,8.730533805371754,13465.952304086182,8.64946674599103,10.500409286312182,10.500409286312182,8.656120014398647,8.849391283083888,37.42904108329016,8.649463631682066,10.500409271084152
signsuisse_test,sockeye,4,5.508071835636254,12002.997082101656,5.6515569890558925,9.098279058927151,9.098279058927151,5.484853891893887,7.483328466203613,62.2069660259716,5.651555128871506,9.098279128058968
signsuisse_test,sockeye,5,4.260944604946032,10286.817433911729,4.304057944603342,8.535656340764856,8.535656340764856,4.265554015812187,5.827951128146386,54.786192925874445,4.304059294103046,8.535656137414179
signsuisse_test,sockeye,6,5.163558756031212,10272.49945831667,5.617397688310922,8.729882088897545,8.729882088897545,5.123439788925198,7.485198683503837,77.45812958571453,5.617396659967047,8.729882081285709
signsuisse_test,sockeye,7,7.7159571469914825,12866.09111069262,7.818883699444657,14.151226555371704,14.151226555371704,7.704011729909261,14.049403385358438,150.06538484471423,7.818884686219265,14.15122640401884
signsuisse_test,sockeye,8,5.472879188078791,10834.356976867803,6.228111558393657,9.88666597395271,9.88666597395271,5.399337404277895,7.864130749664753,77.77244770194488,6.228113854098756,9.886665888859751
signsuisse_test,sockeye,9,5.825527427451443,11300.715280206943,4.607429030001483,10.312683219038918,10.312683219038918,5.797878118654837,9.28176789181707,95.62555504861314,4.607428744864774,10.312683203078715
signsuisse_test,sockeye,10,5.269531963791321,10934.649765665676,6.833083352805938,10.10302793916442,10.10302793916442,5.235461794970213,8.936229436589011,89.2461238766311,6.833081270727932,10.103027920125204
